"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"433"	"C9orf72; SPG11"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI632"
"434"	"CCNF; CFAP410; SOD1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI634"
"435"	"ANG; C9orf72"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI637; OLI638; OLI773"
"436"	"BMP4; DACH1"	"Involved in the same disease;Affecting the same tissue;Indirectly interacting;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI639"
"437"	"KATNIP; KIF7"	"Involved in the same disease;Same organelle;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI640"
"438"	"FUS; TBK1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"1"	"OLI642; OLI643"
"439"	"CACNA1C; SCN5A"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Nervous system development;Phase 0 - rapid depolarisation;Muscle contraction;Axon guidance;Cardiac conduction;Adrenergic signaling in cardiomyocytes"	"2"	"OLI645"
"440"	"FLRT1; PDE1B; SMARCA2; SMARCA5; TNIK"	"Involved in the same disease;Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Gene expression (Transcription);Signal Transduction"	"1"	"OLI646"
"441"	"AKAP9; CACNA1C; DSC2; OBSCN; RBM20; RYR2; TECRL; VCL"	"Indirectly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(CACNA1C, RYR2)"	"N.A."	"2"	"OLI647"
"442"	"PLXNA1; PROKR2"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI648"
"443"	"IGSF10; PLXNA1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI649"
"444"	"HS6ST1; PLXNA1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI650"
"445"	"CCDC141; PLXNA1; SEMA3E"	"Involved in the same disease;Directly interacting;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI651"
"446"	"FGFR1; NRP1; PLXNA1"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"(NRP1, PLXNA1)"	"Semaphorin interactions;Nervous system development;Axon guidance;Sema3A PAK dependent Axon repulsion;Developmental Biology;SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"1"	"OLI652"
"447"	"PLXNA1; POLR3A"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI653"
"448"	"PLXNA1; SRA1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI654"
"449"	"C9orf72; FIG4"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI656"
"450"	"C9orf72; PSEN2"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI657"
"451"	"MATR3; SOD1"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI658"
"452"	"SETX; TARDBP"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI659"
"453"	"FIG4; FUS"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI660"
"454"	"MAPT; MATR3; SETX"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI661"
"455"	"HNRNPA1; OPTN"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI662"
"456"	"FIG4; SETX"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI664; OLI950"
"457"	"GRN; MAPT"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI665"
"458"	"ANG; SETX"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI666"
"459"	"NR5A1; STAR"	"Indirectly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"N.A."	"Cushing syndrome;Cortisol synthesis and secretion;Cortisol synthesis and secretion"	"2"	"OLI667"
"460"	"AMH; NR5A1"	"Indirectly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"N.A."	"Transcriptional regulation of testis differentiation"	"2"	"OLI668"
"461"	"GATA4; LRP4"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI670"
"462"	"GATA4; LHCGR"	"Involved in the same disease;Indirectly interacting;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI671"
"463"	"ALPK3; MYL2; TTN"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI672"
"464"	"IL36RN; TNFAIP3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Immune System"	"2"	"OLI673"
"465"	"CTRC; SPINK1"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Relevant pathways for phenotype"	"(CTRC, SPINK1)"	"N.A."	"2"	"OLI674; OLI675; OLI676"
"466"	"PRSS1; SPINK1"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI677"
"467"	"FAT1; NDST1; SHH"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI678"
"468"	"COL2A1; FAT1; NDST1"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"N.A."	"N.A."	"2"	"OLI679"
"469"	"FAT1; LRP2"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"N.A."	"N.A."	"2"	"OLI680"
"470"	"COL2A1; FAT1; PTCH1"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"N.A."	"N.A."	"2"	"OLI681"
"471"	"BOC; HIC1; SCUBE2"	"Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"Signaling by Hedgehog;Signal Transduction"	"2"	"OLI682"
"472"	"BOC; SCUBE2; SHH; STK36; WNT4"	"Co-expression;Directly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI683"
"473"	"B9D1; CELSR1"	"Same organelle;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI684"
"474"	"IFT172; PRICKLE1"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"1"	"OLI685"
"475"	"CELSR1; LRP2; MKS1; SHH"	"Same organelle;Affecting the same tissue;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI686"
"476"	"SIX3; TCTN3; TULP3"	"Same organelle;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI687"
"477"	"ITGB3; TUBB1"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"N.A."	"Nervous system development;Disease;L1CAM interactions;Axon guidance;Hemostasis;Developmental Biology;Phagosome;Signal Transduction"	"2"	"OLI688"
"478"	"CHD7; FGFR1; PROKR2"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI689"
"479"	"ALDH1L1; PCMT1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI690"
"480"	"INVS; PDGFRA; SARDH"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI691"
"481"	"DCHS1; PTCH1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI692"
"482"	"CXCL6; WNT9A"	"Relevant pathways for phenotype"	"N.A."	"Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"0"	"OLI693"
"483"	"ALDH1L1; FOLR3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI694"
"484"	"ERCC2; FAT4"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI695"
"485"	"ALDH1L1; FAT4; PCYT1A; PTCH1; ZIC3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Metabolism"	"0"	"OLI696"
"486"	"DCHS1; SHH"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI697"
"487"	"CELSR1; CRABP2; CUBN; PRICKLE4"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI698"
"488"	"CELSR2; DLC1; FZD6; MTHFD1; SHROOM3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI699"
"489"	"CUBN; XRCC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI700"
"490"	"CAT; CELSR2; CELSR3; DCHS1; SMURF1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI701"
"491"	"ARID1A; ROR2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI702"
"492"	"ALDH1L1; FTCD; SALL2; SCRIB"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI703"
"493"	"CELSR2; DAAM1; DNMT1; MEN1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI704"
"494"	"SALL4; ZNRF3"	"Involved in the same disease;Same pathway"	"N.A."	"Signal Transduction"	"1"	"OLI705"
"495"	"FZD2; MTHFR; SLC2A1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Metabolism of vitamins and cofactors;Metabolism of water-soluble vitamins and cofactors;Pathways in cancer;Metabolism"	"1"	"OLI706"
"496"	"DAAM1; DCHS1; SETD2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI707"
"497"	"FAT4; SFRP5"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI708"
"498"	"GLDC; MTHFR"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Carbon metabolism;Metabolic pathways;Metabolism"	"2"	"OLI709"
"499"	"CELSR1; COBL; DVL3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI710"
"500"	"FAT4; ZNRF3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI711"
"501"	"FAT4; FOLR3; FZD6"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI712"
"502"	"ALX1; MTRR; ZIC3"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI713"
"503"	"CELSR3; CUBN; NOG; SHROOM1; TULP3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI714"
"504"	"INSR; NOS3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Insulin resistance;cGMP-PKG signaling pathway;Signaling by Receptor Tyrosine Kinases;PI3K-Akt signaling pathway;HIF-1 signaling pathway;Signal Transduction"	"0"	"OLI715"
"505"	"CXCL6; INTU; SHROOM1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI716"
"506"	"GRHL1; MTHFS"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI717"
"507"	"ALX1; CTH; FZD6; MTHFD1; SALL4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI718"
"508"	"BHMT; PAX3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI719"
"509"	"CELSR2; GLDC; PDGFRA; SHROOM1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI720"
"510"	"ARID1A; WNT9A"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Hepatocellular carcinoma"	"0"	"OLI721"
"511"	"BRCA1; NOS3; SCRIB; ZIC3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"PI3K-Akt signaling pathway;Signal Transduction"	"0"	"OLI722"
"512"	"INVS; NID1; NOS2; SALL2; SCRIB; SHROOM2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI723"
"513"	"DACT1; FTCD; NAT1; SNX13"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI724"
"514"	"ADGRA3; GART; TXN2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI725"
"515"	"ALDH1A2; BHMT; COBL; CUBN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI726"
"516"	"COQ3; SARDH"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Metabolic pathways;Metabolism"	"0"	"OLI727"
"517"	"GRHL2; LAMC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI728"
"518"	"ALX1; BRD2; CELSR3; CUBN; SHROOM3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI729"
"519"	"AHCY; SCRIB"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI730"
"520"	"CELSR2; PTK7"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI731"
"521"	"DVL1; SALL2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI732"
"522"	"ARID1A; NKX2-8; PCYT1A; SETD2"	"Involved in the same disease;Colocalization;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI733"
"523"	"CELSR2; GLDC; SHROOM4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI734"
"524"	"FAT4; JARID2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI735"
"525"	"CELSR2; INVS"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI736"
"526"	"CELSR3; JARID2; TRDMT1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI737"
"527"	"CELSR1; MTHFD1L; RNMT"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI738"
"528"	"ADGRA3; EPCAM"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI739"
"529"	"DCHS1; GLDC; SHROOM2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI740"
"530"	"ALDH1L1; NID1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI741"
"531"	"GART; NOS2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Metabolic pathways"	"1"	"OLI742"
"532"	"BHMT; SHMT1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Glycine;Metabolic pathways;serine and threonine metabolism;Metabolism"	"0"	"OLI743"
"533"	"ALX1; FAT4; FZD1; ZNRF3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI744"
"534"	"CAT; DVL1; SFRP1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Signaling by WNT;Signal Transduction;TCF dependent signaling in response to WNT"	"1"	"OLI745"
"535"	"CELSR2; FAT4; MED12"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI746"
"536"	"CELSR2; NOG; SOD2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI747"
"537"	"BRCA1; DLC1; SALL2; TMEM231"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI748"
"538"	"CELSR1; NAT1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI749"
"539"	"COBL; XRCC1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI750"
"540"	"DVL1; NID1; SETD2; SHROOM1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI751"
"541"	"NOS3; ROR2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Signal Transduction"	"0"	"OLI752"
"542"	"CELSR2; NOS1; SHROOM2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI753"
"543"	"GAPDH; ROR2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI754"
"544"	"RFC1; TP53"	"Involved in the same disease;Directly interacting;Relevant pathways for phenotype"	"(RFC1, TP53)"	"Mitotic;Cell Cycle;DNA Repair;Cell Cycle;DNA Double-Strand Break Repair"	"2"	"OLI755"
"545"	"COBL; NOG; ZNRF3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI756"
"546"	"DLC1; FAT4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI757; OLI762"
"547"	"ADGRA3; CELSR1; COBL; CUBN; SCRIB; SNX13"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI758"
"548"	"CBS; ZIC3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI759"
"549"	"DACT1; GLDC; ST14"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI760"
"550"	"AHCY; AMBRA1; CXCL6; INVS; PRICKLE2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Wnt signaling pathway;Wnt signaling pathway"	"0"	"OLI761"
"551"	"CELSR2; NAT1; SNX13"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI763"
"552"	"C9orf72; SOD1"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI764"
"553"	"C9orf72; TARDBP"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases;Amyotrophic lateral sclerosis"	"0"	"OLI765; OLI770; OLI1458"
"554"	"MAP3K1; NR5A1"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI766"
"555"	"CYP1B1; PITX2"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI767; OLI768"
"556"	"C9orf72; VCP"	"N.A."	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI769"
"557"	"C9orf72; UBQLN2"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI771"
"558"	"ALS2; C9orf72"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI772"
"559"	"FUS; SOD1"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI775"
"560"	"FUS; OPTN"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI776"
"561"	"SOD1; UBQLN2"	"Involved in the same disease;Same pathway"	"N.A."	"Amyotrophic lateral sclerosis"	"1"	"OLI777"
"562"	"ALS2; SOD1"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI778"
"563"	"GNRHR; KISS1R"	"Involved in the same disease;Same pathway"	"N.A."	"G alpha (q) signalling events;GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"1"	"OLI780"
"564"	"MEI1; TEX11"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI781"
"565"	"MEI1; SPATA17"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI782"
"566"	"ART3; UBR2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI783"
"567"	"ATXN2; DCTN1"	"Involved in the same disease"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI784"
"568"	"ATXN2; SETX"	"Involved in the same disease"	"N.A."	"Amyotrophic lateral sclerosis"	"0"	"OLI785; OLI786"
"569"	"ABCA7; ADNP; COL6A3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI787; OLI788"
"570"	"ECEL1; FLII"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI789"
"571"	"MYO18B; RYR3"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI790"
"572"	"MID1IP1; NEB"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI791"
"573"	"AP4M1; GBE1; TAF9B"	"Involved in the same disease"	"N.A."	"Disease"	"0"	"OLI792"
"574"	"CIT; MYOM3; SPEG"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI793"
"575"	"COL6A3; FBN2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Degradation of the extracellular matrix"	"2"	"OLI794; OLI795"
"576"	"COG6; MED27"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI796"
"577"	"HOXA11; KLHL7; TNRC6C"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI797"
"578"	"BRWD3; DRG1; TANC1"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI798"
"579"	"ABCA7; SPEG; TPM2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI799"
"580"	"CFTR; SCNN1A"	"Involved in the same disease;Relevant pathways for phenotype;Same protein complex"	"N.A."	"Transport of small molecules"	"1"	"OLI800"
"581"	"CFTR; SERPINA1"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(CFTR, SERPINA1)"	"Membrane Trafficking;Metabolism of proteins;Post-translational protein modification;Vesicle-mediated transport"	"2"	"OLI801"
"582"	"CFTR; SCNN1A; SCNN1G"	"Involved in the same disease;Relevant pathways for phenotype;Same protein complex"	"(SCNN1A, SCNN1G)"	"Ion channel transport;Taste transduction;Transport of small molecules;Aldosterone-regulated sodium reabsorption;Stimuli-sensing channels"	"1"	"OLI802"
"583"	"SCNN1A; SERPINA1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI803"
"584"	"SCNN1B; SCNN1G; SERPINA1"	"Involved in the same disease;Relevant pathways for phenotype"	"(SCNN1B, SCNN1G)"	"Ion channel transport;Taste transduction;Transport of small molecules;Aldosterone-regulated sodium reabsorption;Aldosterone-regulated sodium reabsorption;Stimuli-sensing channels"	"1"	"OLI804"
"585"	"SCNN1A; SCNN1B"	"Relevant pathways for phenotype;Directly interacting;Same pathway;Same protein complex"	"(SCNN1A, SCNN1B)"	"Ion channel transport;Taste transduction;Transport of small molecules;Aldosterone-regulated sodium reabsorption;Stimuli-sensing channels"	"2"	"OLI805"
"586"	"NDUFA10; PYGM; TIMM50"	"Relevant pathways for phenotype"	"N.A."	"Metabolic pathways;Metabolism"	"0"	"OLI806"
"587"	"GBE1; HMBS; PHKA1; RYR1"	"Relevant pathways for phenotype"	"N.A."	"Calcium signaling pathway;Metabolic pathways;Glycogen metabolism;Metabolism"	"0"	"OLI807"
"588"	"GBE1; PCCB"	"Relevant pathways for phenotype"	"N.A."	"Disease;Metabolic pathways;Diseases of metabolism;Metabolism"	"0"	"OLI808"
"589"	"CACNA1S; HMBS; NDUFS8"	"Relevant pathways for phenotype"	"N.A."	"Retrograde endocannabinoid signaling;Metabolic pathways;Pathways of neurodegeneration - multiple diseases;Prion disease;Metabolism;Alzheimer disease"	"0"	"OLI809"
"590"	"CPT2; ELAC2"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI810"
"591"	"ACADVL; NDUFA6"	"Relevant pathways for phenotype"	"N.A."	"Metabolic pathways;Metabolism"	"0"	"OLI811"
"592"	"NUBPL; OAT"	"Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI812"
"593"	"KL; POLR3A"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI813"
"594"	"ANOS1; DMXL2; PNPLA6"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI814"
"595"	"SEMA3A; SPRY4"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI815"
"596"	"PROKR2; RNF216"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI816"
"597"	"SIGMAR1; SQSTM1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Amyotrophic lateral sclerosis;Pathways of neurodegeneration - multiple diseases"	"0"	"OLI824"
"598"	"CCNF; KIF5A"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Adaptive Immune System;Immune System;Metabolism of proteins"	"1"	"OLI825"
"599"	"NEK1; TBK1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI826"
"600"	"C9orf72; NEK1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI827; OLI1009; OLI1011"
"601"	"GRN; NEFH"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI828"
"602"	"PRRT2; SCN1B"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"0"	"OLI829"
"603"	"C9orf72; VAPB"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Pathways of neurodegeneration - multiple diseases"	"0"	"OLI830"
"604"	"GFI1; MYO6"	"Same pathway;Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI831"
"605"	"AHI1; BBS2; BBS4; KIF7"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"(BBS2, BBS4);(BBS4, KIF7)"	"Cilium Assembly;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"1"	"OLI832"
"606"	"CHD7; PROKR2"	"Relevant pathways for phenotype;Monogenic experiments only;Same pathway;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI836; OLI1261; OLI1276; OLI1294; OLI847"
"607"	"ENG; MAP4K4"	"Monogenic experiments only;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI838"
"608"	"RASA1; TIMP3"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI839"
"609"	"ENG; SCUBE2"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI840"
"610"	"MEOX1; MYOD1"	"Indirectly interacting;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI841"
